province,year,eff,lntl,ind,urb,rd,open,es_proxy
湖南,2021,0.474882506,0.446129998,0.3935 ,0.5971,0.0223,0.1296 ,0.6268210185819928
甘肃,2021,0.247267898,0.318286927,0.3384 ,0.5333,0.0126,0.0480 ,0.7940981995776806
福建,2021,0.791677614,1.496074243,0.4685 ,0.697,0.0198,0.3776 ,0.6916538657424005
贵州,2021,0.310357738,0.46986279,0.3566 ,0.5433,0.0092,0.0334 ,0.6995685238995919
辽宁,2021,0.42241641,0.749363841,0.3943 ,0.7281,0.0218,0.2800 ,0.7942484825502047
重庆,2021,0.35175125,0.592985578,0.4010 ,0.7032,0.0216,0.2868 ,0.5915804535844565
陕西,2021,0.390010619,0.666067254,0.4632 ,0.6363,0.0235,0.1595 ,0.8139053787779655
青海,2021,1.002328121,0.208673474,0.3982 ,0.6102,0.008,0.0095 ,0.6067983108542481
黑龙江,2021,0.456600231,0.199237623,0.2672 ,0.6569,0.0131,0.1339 ,0.8081513306259072
上海,2022,0.722863912,2.878166095,0.2566 ,0.8933,0.0444,0.9364 ,0.5484473358972171
云南,2022,0.732001426,0.274027264,0.3616 ,0.5172,0.0108,0.1120 ,0.6870590140418531
内蒙古,2022,0.402228931,0.366068414,0.4854 ,0.686,0.009,0.0651 ,0.9352298634462392
北京,2022,1.25004307,1.929774651,0.1587 ,0.8757,0.0683,0.8753 ,0.021241053209500642
吉林,2022,1.00502482,0.398531762,0.3541 ,0.6372,0.0143,0.1193 ,0.8605928214810022
四川,2022,0.673955408,0.623744516,0.3728 ,0.5835,0.0214,0.1770 ,0.5063870909018118
天津,2022,1.019615878,2.107440778,0.3702 ,0.8511,0.0349,0.5090 ,0.623883460172049
宁夏,2022,0.48502213,0.731129463,0.4831 ,0.6634,0.0157,0.0423 ,0.9399085097909115
安徽,2022,0.353385302,1.070435696,0.4127 ,0.6015,0.0256,0.1671 ,0.7690512194944271
山东,2022,0.819770486,1.197341238,0.4005 ,0.6454,0.0249,0.3683 ,0.8040556483157908
山西,2022,0.252137244,0.756578197,0.5398 ,0.6396,0.0107,0.0714 ,0.9116553927861312
广东,2022,1.031454629,1.951320749,0.4093 ,0.7479,0.0342,0.6428 ,0.6154886449345027
广西,2022,0.382015161,0.474905392,0.3399 ,0.5565,0.0083,0.2458 ,0.7543449151897733
新疆,2022,0.370949729,0.500996017,0.4098 ,0.5789,0.0051,0.1385 ,0.8596557785482276
江苏,2022,1.021278132,1.770671132,0.4548 ,0.7442,0.0312,0.4412 ,0.7844688401594797
江西,2022,0.275700634,0.578715966,0.4477 ,0.6207,0.0174,0.2065 ,0.8235459861885605
河北,2022,0.67582358,0.962061646,0.4024 ,0.6165,0.02,0.1298 ,0.8836501983752293
河南,2022,1.022356007,1.033653278,0.4151 ,0.5707,0.0186,0.1381 ,0.7569706492279732
浙江,2022,0.76089634,1.617957356,0.4273 ,0.7338,0.0311,0.6026 ,0.6335664039096595
海南,2022,0.455431,1.364573698,0.1923 ,0.6149,0.01,0.2941 ,0.4399087726928622
湖北,2022,0.64746419,0.7808928,0.3953 ,0.6467,0.0233,0.1140 ,0.6780628960473937
湖南,2022,0.539133442,0.467838783,0.3941 ,0.6031,0.0241,0.1445 ,0.6239510888592438
甘肃,2022,0.244399588,0.328631359,0.3522 ,0.5419,0.0129,0.0507 ,0.8037591207737459
福建,2022,0.941455635,1.484745575,0.4722 ,0.7011,0.0204,0.3732 ,0.6974305365172881
贵州,2022,0.321704596,0.42375074,0.3527 ,0.5481,0.0099,0.0362 ,0.7117948290909529
辽宁,2022,0.415924318,0.717928124,0.4057 ,0.73,0.0214,0.2727 ,0.7988334284599454
重庆,2022,0.358537795,0.63002542,0.4015 ,0.7096,0.0236,0.2782 ,0.6233141301728218
陕西,2022,0.408406787,0.69767463,0.4862 ,0.6402,0.0235,0.1451 ,0.823591190519534
青海,2022,1.003672727,0.205893713,0.4392 ,0.6143,0.008,0.0112 ,0.6138608030823476
黑龙江,2022,0.457801778,0.184944749,0.2924 ,0.6621,0.0137,0.1668 ,0.8052894899280889
