province,year,ind,urb,rd,open,es,eff,lntl_1,lntl
陕西,2021,0.4632,0.6363,0.0235,0.1595,0.389156042,0.360576419,0.527092885,0.644855834
青海,2021,0.3982,0.6102,0.008,0.0095,0.239684751,0.980334496,0.037744826,0.279937024
黑龙江,2021,0.2672,0.6569,0.0131,0.1339,0.292488381,0.361263069,0.172250733,0.44095911
上海,2022,0.2566,0.8933,0.0444,0.9364,0.137292749,0.638903506,2.878166095,2.866260881
云南,2022,0.3616,0.5172,0.0108,0.112,0.402316736,0.293755255,0.261310556,0.270146153
内蒙古,2022,0.4854,0.686,0.009,0.0651,0.440982652,0.385162457,0.094401968,0.087691431
北京,2022,0.1587,0.8757,0.0683,0.8753,0.00563742,1.26506665,1.929774651,1.893791737
吉林,2022,0.3541,0.6372,0.0143,0.1193,0.281200443,0.43437272,0.361308497,0.388779657
四川,2022,0.3728,0.5835,0.0214,0.177,0.204858096,0.587176706,0.332523228,0.312915807
天津,2022,0.3702,0.8511,0.0349,0.509,0.179341939,1.007444784,2.107440778,2.0826687
宁夏,2022,0.4831,0.6634,0.0157,0.0423,0.513603623,0.499909878,0.616062989,0.576887063
安徽,2022,0.4127,0.6015,0.0256,0.1671,0.347723179,0.378653428,0.883909823,0.840387408
山东,2022,0.4005,0.6454,0.0249,0.3683,0.249304028,0.652654556,1.194498554,1.157670564
山西,2022,0.5398,0.6396,0.0107,0.0714,0.458715666,0.333987156,0.644659153,0.619659847
广东,2022,0.4093,0.7479,0.0342,0.6428,0.139179266,1.016609139,1.322084701,1.313970829
广西,2022,0.3399,0.5565,0.0083,0.2458,0.413479646,0.342816333,0.385993209,0.388567755
新疆,2022,0.4098,0.5789,0.0051,0.1385,0.249264619,0.290499525,0.102821643,0.100402429
江苏,2022,0.4548,0.7442,0.0312,0.4412,0.273866865,1.013758439,1.669588306,1.650302754
江西,2022,0.4477,0.6207,0.0174,0.2065,0.364149352,0.428257293,0.448917464,0.434464382
河北,2022,0.4024,0.6165,0.02,0.1298,0.500861981,0.346132766,0.790224707,0.756999651
河南,2022,0.4151,0.5707,0.0186,0.1381,0.288330191,0.423155125,0.901079469,0.873223853
浙江,2022,0.4273,0.7338,0.0311,0.6026,0.048045253,0.580895526,1.455664166,1.430081136
海南,2022,0.1923,0.6149,0.01,0.2941,0.079269524,0.906371302,0.7892564,0.835736808
湖北,2022,0.3953,0.6467,0.0233,0.114,0.378192112,0.485971341,0.590605117,0.538890559
湖南,2022,0.3941,0.6031,0.0241,0.1445,0.338784226,0.565148034,0.399218197,0.381412837
甘肃,2022,0.3522,0.5419,0.0129,0.0507,0.292894503,0.412536272,0.157005698,0.149724154
福建,2022,0.4722,0.7011,0.0204,0.3732,0.228586603,0.51331216,0.908098693,0.909529063
贵州,2022,0.3527,0.5481,0.0099,0.0362,0.338654643,0.343486693,0.323877093,0.357599693
辽宁,2022,0.4057,0.73,0.0214,0.2727,0.324968647,0.40841099,0.664497536,0.688459993
重庆,2022,0.4015,0.7096,0.0236,0.2782,0.240925916,0.464637247,0.630025421,0.592985577
陕西,2022,0.4862,0.6402,0.0235,0.1451,0.378796713,0.354650422,0.554615502,0.527092885
青海,2022,0.4392,0.6143,0.008,0.0112,0.23061086,1.001248989,0.037121502,0.037744826
黑龙江,2022,0.2924,0.6621,0.0137,0.1668,0.272450705,0.36713069,0.160662032,0.172250733
